CIQUAL CODE 2020;CIQUAL NAME 2020;Present in Agribalyse 3.2
25217;Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée;
25218;Lasagnes ou cannellonis aux légumes, préemballés, cuits;Oui
25219;Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits;Oui
25635;Lasagnes ou cannellonis au fromage et aux épinards, préemballés;Oui
4041;Aligot (purée de pomme de terre à la tomme fraîche), préemballé;Oui
19437;Fromage de chèvre pané à dorer, préemballé;
25020;Soufflé au fromage;Oui
25137;Tartiflette, préemballée;Oui
25437;Gougère;Oui
25509;Préparation à base de fromage(s) pour fondue savoyarde, préemballée;Oui
25546;Fromage pané au jambon;Oui
20914;Escalope végétale ou steak à base de soja;Oui
20917;Tempeh;Oui
25225;Nuggets de blé (sans soja), préemballé;Oui
25226;Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé;Oui
25227;Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé;Oui
25228;Pané soja et blé (ne convient pas aux véganes ou végétaliens);Oui
25229;Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée;Oui
25230;Escalope panée, soja, blé et fromage, type cordon bleu, préemballée;Oui
25231;Raviolis au tofu, à la sauce tomate, préemballés;
25233;Galette de céréales au fromage (sans soja), préemballé;Oui
25234;Galette de céréales aux légumes (sans soja), préemballé;Oui
25589;Boulette végétale au soja et/ou blé, préemballée;Oui
25591;Galette ou pavé aux lentilles, soja et légumes, préemballé;Oui
25592;Galette ou pavé au blé (seitan) et légumes, préemballé;Oui
25593;Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé;Oui
25594;Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé;Oui
25595;Galette ou pavé au soja et fromage, préemballé;Oui
25596;Galette ou pavé au soja et légumes, préemballé;Oui
25597;Galette ou pavé au soja, fromage et légumes, préemballé;Oui
30181;Haché végétal à base de soja, préemballé;Oui
25404;Pizza au fromage ou Pizza margherita, préemballée;Oui
25405;Quiche lorraine, préemballée;Oui
25409;Crêpe ou Galette fourrée béchamel jambon, préemballée;Oui
25410;Crêpe ou Galette fourrée béchamel jambon fromage, préemballée;Oui
25411;Crêpe ou Galette fourrée béchamel champignon, préemballée;Oui
25417;Tarte aux légumes, préemballée;Oui
25435;Pizza jambon fromage, préemballée;Oui
25444;Tarte au fromage, préemballée;Oui
25454;Tarte à la provençale, préemballée;Oui
25457;Pizza à la viande, type bolognaise, préemballée;Oui
25459;Burritos;Oui
25460;Fajitas;Oui
25462;Pizza au chorizo ou salami, préemballée;Oui
25463;Pizza aux fruits de mer, préemballée;Oui
25464;Pizza au saumon, préemballée;Oui
25468;Pizza au chèvre et lardons, préemballée;Oui
25472;Pizza aux légumes ou Pizza 4 saisons, préemballée;Oui
25477;Pizza champignons fromage, préemballée;Oui
25478;Pizza 4 fromages, préemballée;Oui
25516;Pizza (aliment moyen);
25528;Pissaladière, préemballée;Oui
25529;Tarte à l'oignon, préemballée;Oui
25548;Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée;Oui
25549;Crêpe ou Galette fourrée béchamel fromage, préemballée;Oui
25550;Flammenkueche ou Tarte flambée aux lardons, préemballée;Oui
25552;Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée;Oui
25553;Tarte ou Tourte aux poireaux, préemballée;Oui
25555;Tarte au saumon, préemballée;Oui
25560;Tourte au riesling, préemballée;Oui
25561;Tarte à la tomate, préemballée;Oui
25562;Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée;Oui
25564;Tarte aux noix de Saint-Jacques, préemballée;Oui
25568;Pastilla au poulet, préemballée;Oui
25570;Pizza aux lardons, oignons et fromage, préemballée;Oui
25572;Crêpe ou Galette aux noix de St Jacques, préemballée;Oui
25573;Tarte ou quiche salée (aliment moyen);
25581;Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée;Oui
25623;Tarte au maroilles ou Flamiche au maroilles, préemballée;Oui
25625;Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée;Oui
26256;Ficelle picarde, préemballée;Oui
26267;Tarte épinard chèvre, préemballée;Oui
26268;Tielle sétoise, préemballée;Oui
26270;Pizza au thon, préemballée;Oui
26271;Pizza kebab, préemballée;Oui
26272;Pizza au poulet, préemballée;Oui
26273;Pizza type raclette ou tartiflette, préemballée;Oui
26274;Pizza au speck ou jambon cru, préemballée;Oui
7811;Focaccia, garnie;Oui
7812;Fougasse, garnie;Oui
25400;Croque-monsieur, fait maison;Oui
25403;Hot-dog, préemballé;Oui
25413;Hamburger, provenant de fast food;Oui
25414;Cheeseburger, provenant de fast food;Oui
25415;Double cheeseburger, provenant de fast food;Oui
25416;Burger au poisson, provenant de fast food;Oui
25428;Sandwich grec ou Kebab, pita, crudités;Oui
25429;Sandwich grec ou Kebab, baguette, crudités;Oui
25431;Sandwich baguette, thon, crudités (tomate, salade), mayonnaise;Oui
25434;Sandwich panini, jambon cru, mozzarella, tomates;Oui
25475;Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre;Oui
25476;Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise;Oui
25485;Sandwich baguette, jambon emmental, préemballé;Oui
25488;Sandwich baguette, saumon fumé, beurre;Oui
25490;Sandwich baguette, thon, maïs, crudités, préemballé;Oui
25502;Burger au poulet;Oui
25513;Pan bagnat;Oui
25517;Sandwich baguette, jambon, beurre;Oui
25518;Sandwich baguette, camembert, beurre;Oui
25519;Sandwich baguette, pâté, cornichons;Oui
25520;Sandwich baguette, saucisson, beurre;Oui
25521;Sandwich baguette, jambon, emmental, beurre;Oui
25522;Sandwich (aliment moyen);
25523;Toasts ou Canapés salés, garnitures diverses, préemballés;Oui
25530;Sandwich baguette, crudités diverses, mayonnaise;Oui
25531;Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise;Oui
25532;Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise;Oui
25533;Sandwich baguette, porc, crudités (tomate, salade), mayonnaise;Oui
25535;Sandwich baguette, merguez, ketchup moutarde;Oui
25536;Sandwich baguette, salami, beurre;Oui
25542;Croque-madame;Oui
25543;Sandwich baguette (aliment moyen);
25544;Sandwich pain de mie, garnitures diverses, préemballé;Oui
25547;Croque-monsieur, préemballé;Oui
25574;Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé;Oui
25575;Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé;Oui
25576;Sandwich pain de mie complet, jambon, fromage, préemballé;Oui
25577;Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé;Oui
7814;Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé;Oui
25108;Samossa ou Samoussa, préemballé, cuit;Oui
25151;Feuilleté au poisson et / ou fruits de mer;Oui
25169;Spécialité chinoise type bouchée à la vapeur, préemballée, cuite;Oui
25399;Feuilleté aux escargots, préemballé;Oui
25401;Feuilleté ou Friand au fromage;Oui
25402;Feuilleté ou Friand à la viande, préemballé;Oui
25412;Bouchée à la reine, à la viande/volaille/quenelle;Oui
25418;Croissant au jambon;Oui
25419;Rouleau de printemps;Oui
25420;Nem ou Pâté impérial;Oui
