Category;Category 2;AGB Code;CIQUAL Code;French name;English name;Recipe name;Recipe LCI name;Recipe origin;Proxy from another recipe
entrées et plats composés;salades composées et crudités; 25605;25605;Champignon à la grecque;Greek-style marinated mushrooms;Greek-style marinated mushrooms;Greek-style marinated mushrooms, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11115;11115;Sauce au poivre vert, préemballée;Green pepper sauce, prepacked;Green pepper sauce, prepacked;Green pepper sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;sandwichs; 25547;25547;Croque-monsieur, rayon frais;Grilled cheese & ham sandwich, prepacked;Grilled cheese & ham sandwich, prepacked;Grilled cheese & ham sandwich, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 20274;20274;Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;Grilled vegetables pan-fried, Mediterranean-style, frozen, raw;Grilled vegetables pan-fried, Mediterranean-style, frozen, raw;Grilled vegetables pan-fried, Mediterranean-style, frozen, raw, recipe, at plant {FR} U;Retailer for Agribalyse;
produits céréaliers;pains et viennoiseries; 7525;7525;Gressins;Grissini or bread stick;Grissini or bread stick;Grissini or bread stick, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 25620;25620;Guacamole, préemballé;Guacamole, prepacked;Guacamole, prepacked;Guacamole, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;feuilletées et autres entrées; 25508;25508;Feuilleté ou Friand jambon fromage;Ham and cheese in puffed pastry;Ham and cheese in puffed pastry;Ham and cheese in puffed pastry, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;pizzas, tartes et crêpes salées; 26256;26256;Ficelle picarde;Ham and mushroom pancake in cheese sauce;Smoked Alsatian sausage or Landjager;Smoked Alsatian sausage or Landjager, recipe, at plant {FR} U;Retailer for Agribalyse;
viandes, œufs, poissons;charcuteries; 8395;8395;Jambon en croûte;Ham, in a pastry crusty;Ham, in a pastry crusty;Ham, in a pastry crusty, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;sandwichs; 25413;25413;Hamburger, provenant de fast food;Hamburger, from fast foods restaurant;Hamburger, from fast foods restaurant;Hamburger, from fast foods restaurant, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits sucrés;confiseries non chocolatées; 31059;31059;Bonbon dur et sucette;Hard candy and lollipop;Hard candy and lollipop;Hard candy and lollipop, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
entrées et plats composés;plats composés; 20194;20194;Haricots blancs à la sauce tomate, appertisés;Haricot beans with tomato sauce, canned;Haricot beans with tomato sauce, canned;Haricot beans with tomato sauce, canned, recipe, at plant {FR} U;"CTCPA for Agribalyse - see specific report ""CTCPA pour Agribalyse V3.1 :  INVENTAIRES PRODUITS, PROCEDES ET DONNEES SUR LES PERTES ET LE STOCKAGE""";
aides culinaires et ingrédients divers;sauces; 11112;11112;Harissa (sauce condimentaire);Harissa (hot spicy sauce), prepacked;Harissa (hot spicy sauce), prepacked;Harissa (hot spicy sauce), prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
viandes, œufs, poissons;charcuteries; 8400;8400;Fromage de tête;Head-cheese pate or brawn;Head-cheese pate or brawn;Head-cheese pate or brawn, recipe, at plant {FR} U;Agribalyse;
aides culinaires et ingrédients divers;sauces; 11105;11105;Sauce hollandaise, préemballée;Hollandaise sauce, prepacked;Hollandaise sauce, prepacked;Hollandaise sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;sandwichs; 25403;25403;Hot-dog;Hot-dog;Hot-dog;Hot-dog, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 25621;25621;Houmous;Hummus;Hummus;Hummus, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11129;11129;Sauce chasseur, préemballée;Hunter-style sauce (a garnish of mushrooms, shallots and tomatoes in white wine sauce), prepacked;Hunter-style sauce (a garnish of mushrooms, shallots and tomatoes in white wine sauce), prepacked;Hunter-style sauce (a garnish of mushrooms, shallots and tomatoes in white wine sauce), prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;desserts glacés; 39533;39533;Bûche glacée;Ice cream log;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;glaces; 39503;39503;Glace ou crème glacée, bâtonnet, enrobé de chocolat;Ice cream on stick, with chocolate coating;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;glaces; 31035;31035;Barre glacée chocolatée;Ice cream, chocolate coated;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;glaces; 39509;39509;Glace ou crème glacée, cône (taille standard);Ice cream, cone (normal size);Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;glaces; 39522;39522;Glace ou crème glacée, mini cône;Ice cream, cone, mini;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;glaces; 39515;39515;Glace ou crème glacée, en bac;Ice cream, in box;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;glaces; 39531;39531;Glace ou crème glacée, petit pot enfant;Ice cream, in cup for children;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;glaces; 39523;39523;Glace ou crème glacée, pot individuel;Ice cream, in individual cup;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;glaces; 39520;39520;Glace ou crème glacée, gourmande, en bac;Ice cream, luxury, in box;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;glaces; 39521;39521;Glace ou crème glacée, gourmande, en pot;Ice cream, luxury, in cup;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;sorbets; 39526;39526;Glace à l'eau;Ice lolly;Ice lolly;Ice lolly, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
glaces et sorbets;desserts glacés; 39529;39529;Nougat glacé;Iced nougat;Ice cream, in box;Ice cream, in box, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11202;11202;Sauce indienne type tandoori ou tikka masala, préemballée;Indian-style sauce, tandoori or garam masala type, prepacked;Indian-style sauce, tandoori or garam masala type, prepacked;Indian-style sauce, tandoori or garam masala type, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aliments infantiles;céréales et biscuits infantiles; 13167_1;13167;Céréales instantanées, poudre à reconstituer, dès 4/6 mois;Instant cereal (powder to be reconstituted) for baby from 4/6 months;Instant cereal for baby, powder;Instant cereal for baby, powder, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;céréales et biscuits infantiles; 13167_2;13167;Céréales instantanées, poudre reconstituée chez le consommateur, dès 4/6 mois;Instant cereal for baby from 4/6 months, rehydrated with milk at consumer step;Instant cereal for baby, powder;Instant cereal for baby, powder, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;céréales et biscuits infantiles; 13168_1;13168;Céréales instantanées, poudre à reconstituer, dès 6 mois;Instant cereal (powder to be reconstituted) for baby from 6 months;Instant cereal for baby, powder;Instant cereal for baby, powder, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
aliments infantiles;céréales et biscuits infantiles; 13168_2;13168;Céréales instantanées, poudre reconstituée chez le consommateur, dès 6 mois;Instant cereal for baby from 6 months, rehydrated with milk at consumer step;Instant cereal for baby, powder;Instant cereal for baby, powder, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from SFAE (syndicat de l’alimentation de l’enfance);
boissons;boissons sans alcool; 18161;18161;Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard);Instant chicory, without sugar and artificial sweeteners, ready-to-drink (reconstituted with standard semi-skimmed milk);Instant chicory, without sugar and artificial sweeteners, ready-to-drink (reconstituted with standard semi-skimmed milk);Instant chicory, without sugar and artificial sweeteners, ready-to-drink (reconstituted with standard semi-skimmed milk), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boissons sans alcool; 18106;18106;Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé standard);Instant cocoa or chocolate beverage, with sugar, fortified with vitamins and chemical elements, ready-to-drink (reconstituted with standard semi-skimm;Instant cocoa or chocolate beverage, with sugar, ready-to-drink (reconstituted with semi-skimmed milk at consumer);Instant cocoa or chocolate beverage, with sugar, ready-to-drink (reconstituted with semi-skimmed milk at consumer), recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
boissons;boissons sans alcool; 18104;18104;Boisson cacaotée ou au chocolat, instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard);Instant cocoa or chocolate beverage, with sugar, ready-to-drink (reconstituted with standard semi-skimmed milk);Instant cocoa or chocolate beverage, with sugar, ready-to-drink (reconstituted with semi-skimmed milk at consumer);Instant cocoa or chocolate beverage, with sugar, ready-to-drink (reconstituted with semi-skimmed milk at consumer), recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
produits sucrés;confitures et assimilés; 31037;31037;Confiture d'abricot (extra ou classique);Jam, apricot;Jam, apricot;Jam, apricot, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits sucrés;confitures et assimilés; 31038;31038;Confiture de cerise (extra ou classique);Jam, cherry;Jam, cherry;Jam, cherry, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits sucrés;confitures et assimilés; 31062;31062;Confiture de framboise (extra ou classique);Jam, raspberry;Jam, raspberry;Jam, raspberry, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits sucrés;confitures et assimilés; 31110;31110;Confiture, tout type de fruits, allégée en sucres (extra ou classique);Jam, reduced sugar;Jam, reduced sugar;Jam, reduced sugar, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits sucrés;confitures et assimilés; 31024;31024;Confiture de fraise (extra ou classique);Jam, strawberry;Jam, strawberry;Jam, strawberry, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits sucrés;confiseries non chocolatées; 31060;31060;Bonbon gélifié;Jelly candy;Jelly candy;Jelly candy, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
aides culinaires et ingrédients divers;sauces; 11203;11203;Sauce kebab, préemballée;Kebab sauce, prepacked;Kebab sauce, prepacked;Kebab sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11008;11008;Ketchup;Ketchup;Ketchup;Ketchup, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;farines et pâtes à tarte; 51550;51550;Khatfa feuille de brick, préemballée;Khatfa (phyllo or filo pastry), prepacked;Khatfa (phyllo or filo pastry), prepacked;Khatfa (phyllo or filo pastry), prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boisson alcoolisées; 1018;1018;Kir (au vin blanc);Kir (Cocktail of white wine with red fruit liqueur);Kir (Cocktail of white wine with red fruit liqueur);Kir (Cocktail of white wine with red fruit liqueur), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;sandwichs; 25513;25513;Pan bagnat;Large round sandwich with lettuce, tuna, anchovy and black olives;Large round sandwich with lettuce, tuna, anchovy and black olives;Large round sandwich with lettuce, tuna, anchovy and black olives, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 25139;25139;Lasagnes ou cannelloni au poisson;Lasagna or cannelloni with fish;Lasagna or cannelloni with fish;Lasagna or cannelloni with fish, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 25635;25635;Lasagnes ou cannelloni au fromage et aux épinards;Lasagna or cannelloni with goat cheese and spinach;Lasagna or cannelloni with goat cheese and spinach;Lasagna or cannelloni with goat cheese and spinach, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 25081;25081;Lasagnes ou cannelloni à la viande (bolognaise);Lasagna or cannelloni with meat (bolognese sauce);Lasagna or cannelloni with meat (bolognese sauce);Lasagna or cannelloni with meat (bolognese sauce), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 25219;25219;Lasagnes ou canelloni aux légumes et au fromage de chèvre, cuits;Lasagna or cannelloni with vegetables and goat cheese, cooked;Lasagna or cannelloni with vegetables;Lasagna or cannelloni with vegetables, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 25218;25218;Lasagnes ou cannelloni aux légumes, cuits;Lasagna or cannelloni with vegetables, cooked;Lasagna or cannelloni with vegetables;Lasagna or cannelloni with vegetables, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 25131;25131;Lasagnes ou cannelloni aux légumes;Lasagna or cannelloni with vegetables;Lasagna or cannelloni with vegetables;Lasagna or cannelloni with vegetables, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;pizzas, tartes et crêpes salées; 25553;25553;Tarte ou Tourte aux poireaux;Leek tart or pie;Leek tart or pie;Leek tart or pie, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
fruits, légumes, légumineuses et oléagineux;légumes; 20135;20135;Fondue de poireau;Leeks fondue or slow-simmered leeks;Leeks fondue or slow-simmered leeks;Leeks fondue or slow-simmered leeks, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23103;23103;Gâteau au citron, tout type;Lemon cake, all types;Lemon cake, all types;Lemon cake, all types, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boissons sans alcool; 18220;18220;Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés;Lemon or lime base, for beverage, without sugar (to be diluted);Lemon or lime base, for beverage, without sugar (to be diluted);Lemon or lime base, for beverage, without sugar (to be diluted), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23485;23485;Tarte au citron;Lemon tart;Lemon tart;Lemon tart, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boissons sans alcool; 18039;18039;Diabolo (limonade et sirop);Lemonade with a flavoured syrup;Lemonade with a flavoured syrup;Lemonade with a flavoured syrup, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boissons sans alcool; 18016;18016;Limonade, sucrée, avec édulcorants;Lemonade, with sugar and artificial sweetener(s);Lemonade, with sugar;Lemonade, with sugar, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boissons sans alcool; 18010;18010;Limonade, sucrée;Lemonade, with sugar;Lemonade, with sugar;Lemonade, with sugar, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boissons sans alcool; 18035;18035;Limonade, non sucrée, avec édulcorants;Lemonade, without sugar, with artificial sweetener(s);Lemonade, with sugar;Lemonade, with sugar, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 39700;39700;Crème anglaise, préemballée;Light custard cream with vanilla, prepacked;Light custard cream with vanilla, prepacked;Light custard cream with vanilla, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
boissons;boisson alcoolisées; 1003;1003;Liqueur;Liqueur;Liqueur;Liqueur, recipe, at plant {FR} U;Agribalyse;
viandes, œufs, poissons;charcuteries; 30176;30176;Saucisse de foie;Liver sausage;Liver sausage;Liver sausage, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 23024;23024;Macaron moelleux fourré à la confiture ou à la crème;Macaron filled with jam or cream;Macaron filled with jam or cream;Macaron filled with jam or cream, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;céréales de petit-déjeuner et biscuits; 23027;23027;Macaron sec;Macaroon;Macaroon;Macaroon, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
viandes, œufs, poissons;produits à base de poissons et produits de la mer; 26097;26097;Maquereau, filet au vin blanc, appertisé, égoutté;Mackerel, fillet, in white wine, canned, drained;Mackerel fillet, white wine and aromatics, canned;Mackerel fillet, white wine and aromatics, canned, recipe, at plant {FR} U;"Incyvie projet for Agribalyse - see specific report ""Projet Incyvie Lot n°1 : Amélioration de la base de données AGRIBALYSE. """;
aides culinaires et ingrédients divers;sauces; 11121;11121;Sauce madère, préemballée;Madeira wine sauce, prepacked;Madeira wine sauce, prepacked;Madeira wine sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 24632;24632;Madeleine ordinaire, préemballée;Madeleine biscuit (cookie);Madeleine biscuit (cookie);Madeleine biscuit (cookie), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 24631;24631;Madeleine chocolatée, préemballée;Madeleine biscuit, with chocolate, prepacked;Madeleine biscuit, with chocolate, prepacked;Madeleine biscuit, with chocolate, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits céréaliers;gâteaux et pâtisseries; 24630;24630;Madeleine traditionnelle, pur beurre;Madeleine cake, pure butter;Madeleine cake, pure butter;Madeleine cake, pure butter, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from Alliance 7 and its members;
boissons;boissons sans alcool; 2023;2023;Jus de mangue, frais;Mango juice, fresh;Mango juice, fresh, filled;Mango juice, fresh, filled, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
boissons;boissons sans alcool; 2370;2370;Nectar de mangue;Mango nectar;Mango nectar;Mango nectar, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";
produits céréaliers;gâteaux et pâtisseries; 23925;23925;Gâteau marbré;Marble cake;Marble cake;Marble cake, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits sucrés;confitures et assimilés; 31039;31039;Marmelade d'orange;Marmalade, orange;Marmalade, orange;Marmalade, orange, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;pizzas, tartes et crêpes salées; 25623;25623;Tarte au maroilles ou Flamiche au maroilles;Maroilles cheese tart or maroilles cheese flamiche;Maroilles cheese tart or maroilles cheese flamiche;Maroilles cheese tart or maroilles cheese flamiche, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
fruits, légumes, légumineuses et oléagineux;pommes de terre et autres tubercules; 4035;4035;Pomme de terre noisette, surgelée, cuite;Mashed potato balls pre-fried, frozen, cooked;Mashed potatoes w fresh tome cheese, frozen;Mashed potatoes w fresh tome cheese, frozen, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
fruits, légumes, légumineuses et oléagineux;pommes de terre et autres tubercules; 4013;4013;Pomme de terre noisette, surgelée, crue;Mashed potato balls pre-fried, frozen, raw;Mashed potatoes w fresh tome cheese, frozen;Mashed potatoes w fresh tome cheese, frozen, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
entrées et plats composés;plats composés; 4041;4041;Aligot (purée de pomme de terre à la tomme fraîche);Mashed potatoes w fresh tome cheese;Mashed potatoes w fresh tome cheese;Mashed potatoes w fresh tome cheese, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11054;11054;Mayonnaise (70% MG min.);Mayonnaise (70% fat and more);Mayonnaise (70% fat and more);Mayonnaise (70% fat and more), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11205;11205;Sauce rouille, préemballée;Mayonnaise flavoured with garlic, chilli pepper and fish broth, prepacked;Mayonnaise (70% fat and more);Mayonnaise (70% fat and more), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;sauces; 11079;11079;Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée;Mayonnaise, reduced fat or light mayonnaise;Mayonnaise (70% fat and more);Mayonnaise (70% fat and more), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aides culinaires et ingrédients divers;denrées destinées à une alimentation particulière; 42000;42000;Substitut de repas hypocalorique, crème dessert;Meal replacement low calorie, Custard cream dessert-type;Meal replacement low calorie, ready-to-drink;Meal replacement low calorie, ready-to-drink, recipe, at plant {FR} U;Retailer for Agribalyse;
aides culinaires et ingrédients divers;denrées destinées à une alimentation particulière; 42005;42005;Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, type milk-shake;Meal replacement low calorie, in powder, reconstituted with skimmed milk, milkshake type;Meal replacement low calorie, ready-to-drink;Meal replacement low calorie, ready-to-drink, recipe, at plant {FR} U;Retailer for Agribalyse;
aides culinaires et ingrédients divers;denrées destinées à une alimentation particulière; 42004;42004;Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé;Meal replacement low calorie, in powder, reconstituted with skimmed milk;Meal replacement low calorie, ready-to-drink;Meal replacement low calorie, ready-to-drink, recipe, at plant {FR} U;Retailer for Agribalyse;
