Category;Category 2;AGB Code;CIQUAL Code;French name;English name;Recipe name;Recipe LCI name;Recipe origin;Proxy from another recipe
aliments infantiles;desserts infantiles; 13164;13164;Dessert lacté infantile type crème dessert;Dairy dessert for baby, custard type;Custard dessert, vanilla, canned;Custard dessert, vanilla, canned, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aliments infantiles;desserts infantiles; 13166;13166;Dessert lacté infantile nature sucré ou aux fruits;Dairy dessert for baby, plain with sugar or with fruits;Custard dessert, vanilla, canned;Custard dessert, vanilla, canned, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
aliments infantiles;desserts infantiles; 13165;13165;Dessert lacté infantile au riz ou à la semoule;Dairy dessert for baby, with rice or semolina;Custard dessert, vanilla, canned;Custard dessert, vanilla, canned, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
lait et produits laitiers;produits laitiers frais et assimilés; 19508;19508;Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré;Dairy drink or fermented milk or yogurt, flavoured, with sugar;Dairy drink or fermented milk or yogurt, with fruits, with sugar;Dairy drink or fermented milk or yogurt, with fruits, with sugar, recipe, at plant {FR} U;Retailer for Agribalyse;
lait et produits laitiers;produits laitiers frais et assimilés; 19538;19538;Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei;Dairy drink or fermented milk or yogurt, plain, with sugar, with L Casei;Dairy drink or fermented milk or yogurt, with fruits, with sugar;Dairy drink or fermented milk or yogurt, with fruits, with sugar, recipe, at plant {FR} U;Retailer for Agribalyse;
lait et produits laitiers;produits laitiers frais et assimilés; 19535;19535;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;Dairy drink or fermented milk or yogurt, with fruits, with sugar;Dairy drink or fermented milk or yogurt, with fruits, with sugar;Dairy drink or fermented milk or yogurt, with fruits, with sugar, recipe, at plant {FR} U;Retailer for Agribalyse;
produits sucrés;chocolats et produits à base de chocolat; 31080;31080;Chocolat noir fourré praliné, tablette;Dark chocolate bar, filled with praline;Dark chocolate 70%;Dark chocolate 70%, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from Alliance 7 and its members;
produits sucrés;chocolats et produits à base de chocolat; 31005;31005;Chocolat noir à moins de 70% de cacao, à croquer, tablette;Dark chocolate bar, less than 70% cocoa;Dark chocolate 70%;Dark chocolate 70%, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from Alliance 7 and its members;
produits sucrés;chocolats et produits à base de chocolat; 31085;31085;Chocolat noir à 40% de cacao minimum, à pâtisser, tablette;Dark chocolate bar, more than 40% cocoa, for cooking;Dark chocolate 40%;Dark chocolate 40%, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from Alliance 7 and its members;
produits sucrés;chocolats et produits à base de chocolat; 31074;31074;Chocolat noir à 70% cacao minimum, extra, dégustation, tablette;Dark chocolate bar, more than 70% cocoa;Dark chocolate 70%;Dark chocolate 70%, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from Alliance 7 and its members;
produits sucrés;chocolats et produits à base de chocolat; 31070;31070;Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette;Dark chocolate bar, with dried fruits (nuts, almonds, raisin, praline);Dark chocolate with dried fruits;Dark chocolate with dried fruits, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from Alliance 7 and its members;
produits sucrés;chocolats et produits à base de chocolat; 31069;31069;Chocolat noir aux fruits (orange, framboise, poire), tablette;Dark chocolate bar, with fruits (orange, raspberries, pear);Dark chocolate bar, with fruits (orange, raspberries, pear);Dark chocolate bar, with fruits (orange, raspberries, pear), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";
produits sucrés;chocolats et produits à base de chocolat; 31030;31030;Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette;Dark chocolate bar, without sugar and with artificial sweeteners;Dark chocolate 70%;Dark chocolate 70%, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from Alliance 7 and its members;
